modulacion,sistema,columnas_cribado,viga_cercha_cribado,tirante_cm2,marcos_t_subtotal,entrepiso_p2_metaldeck_t_subtotal,entrepiso_p2_staggered_t_subtotal_no_adoptado,entrepiso_p2_granmuro_t_subtotal_concepto_D043,secundaria_t_reserva,total_metaldeck_t_subtotal,total_granmuro_t_subtotal_concepto_D043,kg_m2_granmuro_concepto_D043,drift_m_cribado,estado_analisis,elegible_ranking
M45,PORTICO,HEA500,IPE450,0.0,39.49,12.4,3.84,10.81,7.52,59.4,57.8,63.0,0.033,screening_passed_but_stability_not_checked,False
M45,PORTICO-T,HEA500,IPE450,10.0,40.95,12.4,3.84,10.81,7.52,60.9,59.3,64.6,0.033,screening_passed_but_stability_not_checked,False
M45,PORTICO-F,HEA300,IPE450,0.0,28.72,12.4,3.84,10.81,7.52,48.6,47.1,51.3,0.014,screening_passed_but_stability_not_checked,False
M45,CERCHA,HEA200,IPE220,0.0,21.47,12.4,3.84,10.81,7.52,41.4,39.8,43.4,,incomplete_no_lateral_or_member_stability_analysis,False
M60,PORTICO,HEA500,IPE500,0.0,32.62,12.79,3.84,10.81,7.52,52.9,50.9,55.5,0.034,screening_passed_but_stability_not_checked,False
M60,PORTICO-T,HEA500,IPE500,10.0,33.75,12.79,3.84,10.81,7.52,54.1,52.1,56.7,0.034,screening_passed_but_stability_not_checked,False
M60,PORTICO-F,HEA300,IPE450,0.0,22.34,12.79,3.84,10.81,7.52,42.6,40.7,44.3,0.019,screening_passed_but_stability_not_checked,False
M60,CERCHA,HEA200,IPE220,0.0,16.7,12.79,3.84,10.81,7.52,37.0,35.0,38.2,,incomplete_no_lateral_or_member_stability_analysis,False
M90,PORTICO,HEB400,IPE550,0.0,24.86,17.14,3.84,10.81,7.52,49.5,43.2,47.0,0.049,catalog_exhausted_or_screening_failed,False
M90,PORTICO-T,HEB400,IPE550,10.0,25.67,17.14,3.84,10.81,7.52,50.3,44.0,47.9,0.049,catalog_exhausted_or_screening_failed,False
M90,PORTICO-F,HEA300,IPE550,0.0,18.85,17.14,3.84,10.81,7.52,43.5,37.2,40.5,0.024,screening_passed_but_stability_not_checked,False
M90,CERCHA,HEA200,IPE220,0.0,11.93,17.14,3.84,10.81,7.52,36.6,30.3,33.0,,incomplete_no_lateral_or_member_stability_analysis,False
